clause_id_final,iaa_batch_id,label_gold,label_pred,agree,clause_pred_raw,confidence,baseline_pred,visobert_correct,baseline_correct
72.529_c2,,NEGATIVE,NEUTRAL,False,NEU,0.9778,NEGATIVE,False,True
95.102_c1,,NEUTRAL,NEGATIVE,False,NEG,0.9953,NEUTRAL,False,True
83.34_c3,,POSITIVE,NEUTRAL,False,NEU,0.9968,POSITIVE,False,True
45.2034_c5,,NEGATIVE,NEGATIVE,True,NEG,0.9992,NEGATIVE,True,True
78.682_c2,,POSITIVE,POSITIVE,True,POS,0.7694,POSITIVE,True,True
29.182_c1,,NEUTRAL,POSITIVE,False,POS,0.9195,NEUTRAL,False,True
75.655_c6,,NEGATIVE,NEGATIVE,True,NEG,0.9943,POSITIVE,True,False
59.271_c2,,NEUTRAL,NEUTRAL,True,NEU,0.9285,NEUTRAL,True,True
14.1297_c10,,POSITIVE,NEUTRAL,False,NEU,0.6439,POSITIVE,False,True
95.498_c5,,NEGATIVE,NEGATIVE,True,NEG,0.9984,NEGATIVE,True,True
90.3_c2,,NEUTRAL,POSITIVE,False,POS,0.9195,NEGATIVE,False,False
56.311_c1,,POSITIVE,POSITIVE,True,POS,0.9995,POSITIVE,True,True
30.39_c1,,POSITIVE,POSITIVE,True,POS,0.9195,POSITIVE,True,True
14.1297_c8,,POSITIVE,NEGATIVE,False,NEG,0.9989,POSITIVE,False,True
45.2034_c3,,NEGATIVE,NEGATIVE,True,NEG,0.8427,NEGATIVE,True,True
14.33_c9,,POSITIVE,POSITIVE,True,POS,0.9195,POSITIVE,True,True
78.697_c1,,NEUTRAL,POSITIVE,False,POS,0.9587,NEUTRAL,False,True
12.635_c5,,NEUTRAL,NEUTRAL,True,NEU,0.5359,NEUTRAL,True,True
65.196_c5,,POSITIVE,POSITIVE,True,POS,0.9195,POSITIVE,True,True
64.1523_c1,,NEUTRAL,POSITIVE,False,POS,0.9195,NEUTRAL,False,True
72.529_c1,,NEGATIVE,NEUTRAL,False,NEU,0.7537,NEGATIVE,False,True
14.1285_c1,,POSITIVE,POSITIVE,True,POS,0.9672,POSITIVE,True,True
82.3_c7,,NEGATIVE,NEGATIVE,True,NEG,0.7593,NEGATIVE,True,True
70.98_c1,,POSITIVE,POSITIVE,True,POS,0.7933,POSITIVE,True,True
78.46_c1,,NEUTRAL,POSITIVE,False,POS,0.989,POSITIVE,False,False
27.78_c3,,NEGATIVE,POSITIVE,False,POS,0.838,NEGATIVE,False,True
105.1098_c5,,POSITIVE,POSITIVE,True,POS,0.9991,POSITIVE,True,True
63.1454_c3,,NEUTRAL,NEUTRAL,True,NEU,0.9346,NEUTRAL,True,True
114.29_c3,,POSITIVE,POSITIVE,True,POS,0.9996,POSITIVE,True,True
56.2598_c1,,NEGATIVE,NEGATIVE,True,NEG,0.9381,NEGATIVE,True,True
67.2115_c5,,NEGATIVE,POSITIVE,False,POS,0.9195,NEGATIVE,False,True
67.2815_c2,,NEGATIVE,NEGATIVE,True,NEG,0.9732,NEGATIVE,True,True
68.1453_c1,,NEUTRAL,POSITIVE,False,POS,0.9195,NEUTRAL,False,True
14.616_c1,,POSITIVE,POSITIVE,True,POS,0.9997,POSITIVE,True,True
105.1316_c1,,POSITIVE,POSITIVE,True,POS,0.9195,POSITIVE,True,True
69.141_c8,,NEUTRAL,NEGATIVE,False,NEG,0.8922,NEUTRAL,False,True
69.17_c4,,NEUTRAL,POSITIVE,False,POS,0.9997,NEUTRAL,False,True
65.196_c4,,POSITIVE,POSITIVE,True,POS,0.9195,POSITIVE,True,True
1.71_c1,,POSITIVE,POSITIVE,True,POS,0.9996,POSITIVE,True,True
74.2385_c2,,NEUTRAL,POSITIVE,False,POS,0.9937,NEUTRAL,False,True
24.278_c7,,POSITIVE,POSITIVE,True,POS,0.9195,POSITIVE,True,True
14.7_c5,,POSITIVE,POSITIVE,True,POS,0.9987,POSITIVE,True,True
34.707_c1,,POSITIVE,POSITIVE,True,POS,0.9195,POSITIVE,True,True
47.596_c4,,NEUTRAL,POSITIVE,False,POS,0.8629,NEUTRAL,False,True
87.1136_c5,,NEUTRAL,POSITIVE,False,POS,0.9195,NEGATIVE,False,False
78.76_c4,,NEGATIVE,NEGATIVE,True,NEG,0.9026,NEGATIVE,True,True
64.439_c3,,NEUTRAL,NEGATIVE,False,NEG,0.9957,NEUTRAL,False,True
33.298_c2,,NEUTRAL,NEUTRAL,True,NEU,0.9941,NEUTRAL,True,True
56.1676_c4,,NEGATIVE,NEGATIVE,True,NEG,0.9985,NEGATIVE,True,True
45.2034_c7,,NEGATIVE,POSITIVE,False,POS,0.9969,NEGATIVE,False,True
64.1289_c1,,NEUTRAL,POSITIVE,False,POS,0.9195,NEUTRAL,False,True
17.78_c1,,NEGATIVE,POSITIVE,False,POS,0.9195,NEGATIVE,False,True
43.17_c3,,NEUTRAL,NEGATIVE,False,NEG,0.6294,NEUTRAL,False,True
69.141_c5,,NEGATIVE,NEGATIVE,True,NEG,0.995,NEGATIVE,True,True
70.247_c1,,NEUTRAL,POSITIVE,False,POS,0.8929,NEUTRAL,False,True
28.126_c1,,NEGATIVE,POSITIVE,False,POS,0.9195,NEGATIVE,False,True
1.28_c1,,NEUTRAL,NEUTRAL,True,NEU,0.7765,NEUTRAL,True,True
54.333_c7,,NEGATIVE,NEGATIVE,True,NEG,0.6241,NEGATIVE,True,True
45.1517_c10,,NEGATIVE,NEUTRAL,False,NEU,0.829,NEGATIVE,False,True
86.225_c1,,NEGATIVE,NEUTRAL,False,NEU,0.9605,NEGATIVE,False,True
54.1313_c1,,NEUTRAL,POSITIVE,False,POS,0.9881,NEUTRAL,False,True
47.41_c5,,NEGATIVE,NEUTRAL,False,NEU,0.8876,NEGATIVE,False,True
68.841_c5,,NEGATIVE,NEGATIVE,True,NEG,0.9992,NEGATIVE,True,True
65.1331_c6,,NEUTRAL,POSITIVE,False,POS,0.9195,NEGATIVE,False,False
69.17_c5,,NEUTRAL,POSITIVE,False,POS,0.9996,NEUTRAL,False,True
45.1517_c3,,NEGATIVE,NEGATIVE,True,NEG,0.998,NEGATIVE,True,True
53.64_c11,,NEGATIVE,POSITIVE,False,POS,0.926,NEGATIVE,False,True
47.618_c10,,NEUTRAL,POSITIVE,False,POS,0.9195,NEUTRAL,False,True
28.1014_c8,,NEUTRAL,POSITIVE,False,POS,0.9195,NEUTRAL,False,True
81.89_c3,,POSITIVE,POSITIVE,True,POS,0.9996,POSITIVE,True,True
83.34_c2,,NEUTRAL,NEGATIVE,False,NEG,0.8081,NEGATIVE,False,False
78.12_c6,,POSITIVE,POSITIVE,True,POS,0.9975,NEGATIVE,True,False
11.975_c9,,NEUTRAL,POSITIVE,False,POS,0.9987,NEGATIVE,False,False
78.12_c11,,POSITIVE,POSITIVE,True,POS,0.9968,NEGATIVE,True,False
12.1297_c6,,POSITIVE,POSITIVE,True,POS,0.9639,NEGATIVE,True,False
24.61_c3,,POSITIVE,POSITIVE,True,POS,0.9997,POSITIVE,True,True
64.1194_c1,,NEUTRAL,NEUTRAL,True,NEU,0.9992,NEUTRAL,True,True
34.27_c1,,NEUTRAL,POSITIVE,False,POS,0.9886,NEUTRAL,False,True
12.635_c6,,NEUTRAL,NEUTRAL,True,NEU,0.6501,NEUTRAL,True,True
47.34_c7,,NEUTRAL,NEGATIVE,False,NEG,0.9971,NEUTRAL,False,True
24.1285_c4,,NEGATIVE,NEUTRAL,False,NEU,0.9581,NEGATIVE,False,True
73.1014_c1,,POSITIVE,POSITIVE,True,POS,0.9835,NEUTRAL,True,False
64.1194_c5,,NEUTRAL,NEUTRAL,True,NEU,0.9916,NEUTRAL,True,True
72.34_c2,,NEUTRAL,NEGATIVE,False,NEG,0.5264,NEUTRAL,False,True
78.552_c1,,POSITIVE,NEUTRAL,False,NEU,0.957,POSITIVE,False,True
45.1517_c1,,NEGATIVE,NEGATIVE,True,NEG,0.9885,NEGATIVE,True,True
95.382_c1,,NEGATIVE,NEGATIVE,True,NEG,0.9989,POSITIVE,True,False
88.2503_c2,,NEUTRAL,POSITIVE,False,POS,0.9724,NEUTRAL,False,True
69.1_c10,,POSITIVE,POSITIVE,True,POS,0.9882,POSITIVE,True,True
25.14_c3,,NEUTRAL,NEUTRAL,True,NEU,0.9985,POSITIVE,True,False
70.749_c1,,NEGATIVE,POSITIVE,False,POS,0.5783,NEGATIVE,False,True
70.128_c1,,NEUTRAL,NEUTRAL,True,NEU,0.9772,NEUTRAL,True,True
